lq,lq,lq,Unimplemented,v2.03,BASIC,65,89,Load Quadword DQ-form
stq,stq,stq,Unimplemented,v2.03,BASIC,66,90,Store Quadword DS-form
lhbrx,lhbrx,lhbrx,Implemented,P1,BASIC,67,91,Load Halfword Byte-Reverse Indexed X-form
sthbrx,sthbrx,sthbrx,Implemented,P1,BASIC,67,91,Store Halfword Byte-Reverse Indexed X-form
lwbrx,lwbrx,lwbrx,Implemented,P1,BASIC,68,92,Load Word Byte-Reverse Indexed X-form
stwbrx,stwbrx,stwbrx,Implemented,P1,BASIC,68,92,Store Word Byte-Reverse Indexed X-form
ldbrx,ldbrx,ldbrx,Implemented,v2.06,BASIC,69,93,Load Doubleword Byte-Reverse Indexed X-form
stdbrx,stdbrx,stdbrx,Implemented,v2.06,BASIC,69,93,Store Doubleword Byte-Reverse Indexed X-form
lmw,lmw,lmw,Unimplemented,P1,BASIC,70,94,Load Multiple Word D-form
stmw,stmw,stmw,Unimplemented,P1,BASIC,70,94,Store Multiple Word D-form
lswi,lswi,lswi,Unimplemented,P1,BASIC,72,96,Load String Word Immediate X-form
lswx,lswx,lswx,Unimplemented,P1,BASIC,72,96,Load String Word Indexed X-form
stswi,stswi,stswi,Unimplemented,P1,BASIC,73,97,Store String Word Immediate X-form
stswx,stswx,stswx,Unimplemented,P1,BASIC,73,97,Store String Word Indexed X-form
addi,addi,addi,Implemented,P1,BASIC,76,100,Add Immediate D-form
addis,addis,addis,Implemented,P1,BASIC,76,100,Add Immediate Shifted D-form
add[.],add,add,Implemented,P1,BASIC,77,101,Add XO-form
addic[.],addic,addic,Implemented,P1,BASIC,77,101,Add Immediate Carrying [and Record] D-form
addo[.],addo,addo,Unimplemented,P1,BASIC,77,101,Add & record OV XO-form
subfic,subfic,subfic,Implemented,P1,BASIC,77,101,Subtract From Immediate Carrying D-form
subf[.],subf,subf,Implemented,PPC,BASIC,77,101,Subtract From XO-form
subfo[.],subfo,subfo,Unimplemented,PPC,BASIC,77,101,Subtract From & record OV XO-form
addc[.],addc,addc,Implemented,P1,BASIC,78,102,Add Carrying XO-form
addco[.],addco,addco,Unimplemented,P1,BASIC,78,102,Add Carrying & record OV XO-form
adde[.],adde,adde,Implemented,P1,BASIC,78,102,Add Extended XO-form
addeo[.],addeo,addeo,Unimplemented,P1,BASIC,78,102,Add Extended & record OV XO-form
subfc[.],subfc,subfc,Implemented,P1,BASIC,78,102,Subtract From Carrying XO-form
subfco[.],subfco,subfco,Unimplemented,P1,BASIC,78,102,Subtract From Carrying & record OV XO-form
subfe[.],subfe,subfe,Implemented,P1,BASIC,78,102,Subtract From Extended XO-form
subfeo[.],subfeo,subfeo,Unimplemented,P1,BASIC,78,102,Subtract From Extended & record OV XO-form
subfze[.],subfze,subfze,Implemented,P1,BASIC,78,102,Subtract From Zero Extended XO-form
subfzeo[.],subfzeo,subfzeo,Unimplemented,P1,BASIC,78,102,Subtract From Zero Extended & record OV XO-form
addme[.],addme,addme,Implemented,P1,BASIC,79,103,Add to Minus One Extended XO-form
addmeo[.],addmeo,addmeo,Unimplemented,P1,BASIC,79,103,Add to Minus One Extended & record OV XO-form
addze[.],addze,addze,Implemented,P1,BASIC,79,103,Add to Zero Extended XO-form
addzeo[.],addzeo,addzeo,Unimplemented,P1,BASIC,79,103,Add to Zero Extended & record OV XO-form
